title	genre	imdb_rating	summary	plot
Паранойя (фильм, 2013)	триллер	5.6	«Паранойя» (англ. Paranoia) — фильм режиссёра Роберта Лукетича, основанный на одноименном романе Джозефа Файндера 2004 года. Премьера фильма в США состоялась 16 августа 2013 года.	Адам Кэссиди — парень из простой семьи, который мечтает пробиться в жизни и разбогатеть. Он обладает глубокими познаниями в области новейших технологий и вместе со своими друзьями разрабатывает революционное, как ему кажется, программное обеспечение для смартфонов. Однако после неудачной презентации своего товара Адам теряет работу и сталкивается с необходимостью срочно искать крупную сумму денег, чтобы оплатить операцию отца. Ко всему он ещё и обвинен в растрате денег. В это нелегкое для Адама время бывший начальник, президент компании по имени Николас Уайатт, делает молодому человеку предложение.
Крошка, это ты!	драма комедия	6.4	«Крошка, это ты!» (англ. Baby It's You) — американский фильм 1983 года режиссёра Джона Сейлза с Розанной Аркетт и Винсентом Спано.	История о романе двух старшеклассников, девушки по имени Джилл Розен и голубоглазого итальянского парня Альберта по прозвищу «Шейх», происходит в Нью-Джерси в 1966 году. Помимо Джилл Шейх также увлечён автомобилями, а вообще он хотел бы пойти по стопам Фрэнка Синатры и стать знаменитостью. Молодые люди днём часто видятся в школе, а по вечерам ходят вместе в бар, хотя периодически конфликтуют. Как-то раз, во время одной из ссор, к Шейху навязывается подруга Джилл. Он ведёт её в бар и затем они проводят вместе ночь.
Порожний рейс	драма	7.6	"«Поро́жний рейс» — советский чёрно-белый художественный фильм, поставленный на киностудии «Ленфильм» в 1962 году режиссёром Владимиром Венгеровым. Картина создана по сюжету одноимённого рассказа Сергея Антонова.
Премьера фильма в СССР состоялась 11 февраля 1963 года."	Молодой, начинающий московский журналист Павел Сироткин (Демьяненко) получает задание редакции написать статью о водителе северного леспромхоза, передовом труженике Николае Хромове (Юматов). Попав в суровые зимние условия труда и быта, Сироткин совершенно случайно сталкивается сначала просто с негативными явлениями, а потом и откровенными махинациями в работе леспромхоза. Передовик Хромов оказывается изобретательным делягой, ловко манипулирующим учётом пробега, а директор предприятия Аким Севастьянович (Папанов) — хитрым и изворотливым начальником, для которого выполнение плана любой ценой является принципом руководства. Журналист находится перед выбором — точное исполнение задания редакции или жёсткая принципиальность честного человека. Собрав достаточно фактов о корыстной деятельности некоторых работников леспромхоза, которых достаточно для разоблачительной и разгромной статьи, Сироткин ставит об этом в известность Акима Севастьяновича.
Гидравлика (фильм, 2010)	драма	5.9	"«Гидравлика» — фильм-драма 2010 года, снятый ярославским режиссёром Евгением Серовым. Сюжет фильма основан на одноимённой повести Юрия Ноздрина. Киноработа снята на фотоаппарат, взятый напрокат, за две недели в типовой ярославской квартире.
«Гидравлика» стала одной из двух первых российских кинокартин, целиком снятых на цифровой фотоаппарат, наряду с фильмом «Явление природы», снятом в том же 2010 году. В обоих случаях использовался Canon 5D Mark II."	Фильм начинается в помещении банка, где вор Аванс замечает молодого человека, который входит туда с крупной суммой долларов, но не успевает положить их на счёт. Авансу удаётся вытащить его паспорт и ключи и проследить, где он живёт. Для осуществления дела ему нужен напарник, и им оказывается Сергей Самсонов (Сэм), продавец дешёвой парфюмерии, которого Аванс встречает в кафе. Сергей соглашается участвовать в этом, лишь увидев паспорт своей жертвы — некоего Константина Чистова. Забравшись в квартиру, они начинают её планомерный обыск.
Как удержаться на плаву	триллер комедия	6.0	«Как удержаться на плаву» (англ. Head Above Water) — комедийный триллер режиссёра Джима Уилсона. Премьера состоялась 7 ноября 1996 г.	Молодожёны Джордж и Натали отправляются отдохнуть на остров, где живёт её друг детства Ланс. На остров во время отсутствия Джорджа и Ланса приезжает Кент, бывший парень Натали, из-за чего и происходят последующие перипетии.
Аленький цветочек (мультфильм)	сказка	7.5	«А́ленький цвето́чек» — советский полнометражный рисованный мультипликационный фильм 1952 года, созданный режиссёром Львом Атамановым по одноимённой сказке (1858) Сергея Аксакова. Четвёртый полнометражный мультфильм студии «Союзмультфильм». Спустя 60 лет, в 2012 году, получил оценку 6+ (для зрителей, достигших возраста 6 лет).	Купец Степан Емельянович, отправляясь в морское путешествие, спрашивает трёх своих дочерей, что бы они хотели получить в подарок. Старшая дочь, Гордея, просит золотой венец, украшенный самоцветными камнями. Средняя, Любава, заказывает волшебное зеркальце, в котором всегда будет выглядеть молодой, а самая младшая, Настенька, просит отца привезти ей аленький цветочек, похожий на тот, который она видела во сне. Сёстры только смеются над её желанием. Путешествуя, Степан находит всё, что обещал своим дочерям, за исключением аленького цветочка для Настеньки.
Непал форева	документальный фильм	6.8	Непал форева — документальная комедия Алёны Полуниной, снятая в 2012 году о двух активистах партии «Коммунисты Петербурга и Ленинградской области» (КПЛО), которые задумали поехать в Непал с миротворческой миссией.	Герои фильма — два члена партии «Коммунисты Петербурга и Ленинградской области», Сергей Малинкович и Виктор Перов. Они замышляют поездку в Непал, где недавно закончилась гражданская война, с целью помирить две противоборствующие коммунистические партии этой страны (Коммунистическая партия Непала (объединённая марксистско-ленинская) и Объединённая коммунистическая партия Непала (маоистская)) и, тем самым, приблизить наступление равенства и братства во всём мире. Изначально информация о поездке была придумана ими как «газетная утка» — для привлечения внимания к себе и своей организации. Но, по стечению обстоятельств, героям, действительно, пришлось отправиться в Непал.
Храбрая сердцем	фэнтези	7.1	"«Храбрая сердцем» (англ. Brave) — американский компьютерно-анимационный фэнтезийный фильм компаний Pixar и Walt Disney Pictures. Главные роли озвучивают Келли Макдональд, Билли Коннолли, Эмма Томпсон и Джули Уолтерс.
Слоган — «Change your fate» («Измени свою судьбу»).
Мультфильм распространяется компанией Walt Disney Pictures; премьера состоялась 21 июня 2012 года. Мультфильм — первая волшебная сказка Pixar; в нём отражены любовь режиссёра, Бренды Чепмен, к произведениям Ханса Кристиана Андерсена и братьев Гримм, а также воспитание её дочери.
Обладатель премии «Оскар» 2013 года в номинации «Лучший анимационный полнометражный фильм» и премии «Золотой глобус» в той же категории."	Главная героиня фильма — принцесса Мерида, дочь шотландского короля Фергуса и королевы Элинор. Мерида, как настоящая принцесса, должна во всём подавать всем пример. Её жизнь расписана по минутам: Элинор следит за каждым её шагом, и редко наступает день, когда Мерида предоставлена сама себе и может делать то, что ей нравится — ездить верхом, стрелять из лука и взбираться на отвесные скалы. Отец Мериды — отважный король, который однажды вступил в схватку с гигантским медведем по имени Морду́ и потерял ногу. Хоть Фергус и не видит ничего плохого в увлечениях своей дочери, он не смеет перечить жене.
Марья-искусница	Сказка	7.1	"«Ма́рья-иску́сница» — советский полнометражный музыкальный цветной художественный фильм-сказка, поставленный на Московской киностудии имени Максима Горького в 1959 году режиссёром Александром Роу по пьесе Евгения Шварца «Сказка о храбром солдате» (1946).
Премьера фильма в СССР состоялась 24 марта 1960 года."	Прослужив 25 лет, отставной солдат возвращается в родные края . По пути обратно, все просят солдата о помощи: то белки, то медвежата, то Иванушка. Он рассказал солдату, что ищет свою мать — Марью-искусницу, похищенную водяным царём Водокрутом XIII. Солдат и Иванушка оказываются в лесной глуши, где сталкиваются с самим Водокрутом XIII, однако последнего приводит в ступор произведённая солдатом дробь на барабане. Водяной соглашается даровать свободу Марье-искуснице в обмен на барабан и затем показывает солдату и Иванушке свой подводный дворец с его обитателями, в числе которых оказываются советник водяного Квак, пираты, мудрец-молчальник, казначей Алтын, Морской Петух и даже заключенные в шкатулке русалки.
Рядом с нами	Мелодрама Производственная драма Киноповесть	6.5	"«Ря́дом с на́ми» — советский чёрно-белый фильм, поставленный на киностудии «Ленфильм» в 1957 году режиссёром Адольфом Бергункером.
Премьера фильма в СССР состоялась 6 января 1958."	По окончании московских институтов Андрей и Николай отправляются работать на Алтай. Они устраиваются работать на местном заводе. Николай становится инженером, Андрей — корреспондентом и редактором заводской многотиражки. В этой газете он должен написать статью обо всем коллективе завода. Инициативный Николай вскоре начинает замечать, что не всё на производстве благополучно.
